Wavelength (nm),Absorbance (AU) 2024-09-25 00:01:10,Absorbance (AU) 2024-09-25 00:16:19,Absorbance (AU) 2024-09-25 00:31:29,Absorbance (AU) 2024-09-25 00:46:39,Absorbance (AU) 2024-09-25 01:01:48,Absorbance (AU) 2024-09-25 01:16:58,Absorbance (AU) 2024-09-25 01:32:07,Absorbance (AU) 2024-09-25 01:47:17,Absorbance (AU) 2024-09-25 02:02:26,Absorbance (AU) 2024-09-25 02:17:36,Absorbance (AU) 2024-09-25 02:32:46,Absorbance (AU) 2024-09-25 02:47:55,Absorbance (AU) 2024-09-25 03:03:05,Absorbance (AU) 2024-09-25 03:18:14,Absorbance (AU) 2024-09-25 03:33:24,Absorbance (AU) 2024-09-25 03:48:33,Absorbance (AU) 2024-09-25 04:03:43,Absorbance (AU) 2024-09-25 04:18:53,Absorbance (AU) 2024-09-25 04:34:02,Absorbance (AU) 2024-09-25 04:49:12,Absorbance (AU) 2024-09-25 05:04:22,Absorbance (AU) 2024-09-25 05:19:31,Absorbance (AU) 2024-09-25 05:34:41,Absorbance (AU) 2024-09-25 05:49:50,Absorbance (AU) 2024-09-25 06:05:00,Absorbance (AU) 2024-09-25 06:20:09,Absorbance (AU) 2024-09-25 06:35:19,Absorbance (AU) 2024-09-25 06:50:29,Absorbance (AU) 2024-09-25 07:05:38,Absorbance (AU) 2024-09-25 07:20:48,Absorbance (AU) 2024-09-25 07:35:58,Absorbance (AU) 2024-09-25 07:51:07,Absorbance (AU) 2024-09-25 08:06:17,Absorbance (AU) 2024-09-25 08:21:26,Absorbance (AU) 2024-09-25 08:36:36,Absorbance (AU) 2024-09-25 08:51:46,Absorbance (AU) 2024-09-25 09:06:55,Absorbance (AU) 2024-09-25 09:22:05,Absorbance (AU) 2024-09-25 09:37:14,Absorbance (AU) 2024-09-25 09:52:24,Absorbance (AU) 2024-09-25 10:07:34,Absorbance (AU) 2024-09-25 10:22:43,Absorbance (AU) 2024-09-25 10:37:53,Absorbance (AU) 2024-09-25 10:53:03,Absorbance (AU) 2024-09-25 11:08:12,Absorbance (AU) 2024-09-25 11:23:22,Absorbance (AU) 2024-09-25 11:38:32,Absorbance (AU) 2024-09-25 11:53:41,Absorbance (AU) 2024-09-25 12:08:51,Absorbance (AU) 2024-09-25 12:24:00,Absorbance (AU) 2024-09-25 12:39:10,Absorbance (AU) 2024-09-25 12:54:16,Absorbance (AU) 2024-09-25 13:09:25,Absorbance (AU) 2024-09-25 13:24:35,Absorbance (AU) 2024-09-25 13:39:45,Absorbance (AU) 2024-09-25 13:54:54,Absorbance (AU) 2024-09-25 14:10:04,Absorbance (AU) 2024-09-25 14:25:13,Absorbance (AU) 2024-09-25 14:40:23,Absorbance (AU) 2024-09-25 14:55:33,Absorbance (AU) 2024-09-25 15:10:42,Absorbance (AU) 2024-09-25 15:25:52,Absorbance (AU) 2024-09-25 15:41:02,Absorbance (AU) 2024-09-25 15:56:11,Absorbance (AU) 2024-09-25 16:11:21,Absorbance (AU) 2024-09-25 16:26:31,Absorbance (AU) 2024-09-25 16:41:41
1074.884022,1.775052,1.775897,1.77318,1.770295,1.770295,1.770202,1.770388,1.774209,1.771317,1.774209,1.775991,1.774115,1.777874,1.775709,1.774677,1.776085,1.779482,1.775615,1.779577,1.780715,1.780335,1.777026,1.78043,1.780051,1.78043,1.783766,1.789255,1.78819,1.789255,1.790613,1.789255,1.789836,1.791294,1.790322,1.791781,1.796288,1.796189,1.795599,1.797175,1.792367,1.800146,1.795403,1.792269,1.795993,1.792855,1.793735,1.796288,1.797965,1.801838,1.801539,1.753644,1.803737,1.805746,1.802337,1.806048,1.807056,1.813361,1.796091,1.794421,1.789933,1.792952,1.803637,1.808674,1.812338,1.810502,1.814694,1.808877
1077.308934,1.774211,1.77796,1.769662,1.775145,1.771328,1.775894,1.776175,1.772256,1.776644,1.774398,1.774771,1.775707,1.778996,1.779846,1.778148,1.779752,1.779185,1.778242,1.780036,1.782882,1.778902,1.78479,1.780982,1.780225,1.782311,1.784026,1.785364,1.789501,1.791341,1.78738,1.790275,1.792605,1.79358,1.79485,1.79534,1.799969,1.798782,1.799474,1.796517,1.794654,1.798881,1.803249,1.793482,1.798683,1.797008,1.79632,1.802153,1.803848,1.805449,1.806654,1.75809,1.806755,1.807762,1.807661,1.80756,1.812322,1.810797,1.799276,1.792411,1.794166,1.799079,1.802352,1.810289,1.810391,1.811508,1.814979,1.812322
1079.732006,1.776843,1.774882,1.774417,1.773302,1.777217,1.778061,1.774975,1.776375,1.776469,1.779753,1.777779,1.782114,1.781168,1.777311,1.780224,1.780318,1.781073,1.779941,1.782019,1.780884,1.783252,1.785536,1.783632,1.785441,1.788794,1.788698,1.78745,1.790528,1.791398,1.792852,1.798912,1.792367,1.79636,1.797536,1.799503,1.800688,1.800391,1.798224,1.799996,1.802768,1.80456,1.806458,1.801875,1.801974,1.802173,1.796165,1.80456,1.804859,1.804759,1.80706,1.760681,1.808366,1.80726,1.808567,1.810888,1.812612,1.815159,1.799503,1.797831,1.797046,1.79842,1.803365,1.811293,1.810989,1.815057,1.817721,1.818132
1082.153236,1.78212,1.775939,1.775939,1.779206,1.778363,1.780801,1.78212,1.779018,1.776776,1.784011,1.781649,1.78005,1.782403,1.78458,1.785624,1.786291,1.783254,1.781272,1.785529,1.786958,1.78887,1.7861,1.7842,1.790117,1.789925,1.789925,1.786005,1.795921,1.798754,1.79797,1.799342,1.79388,1.801901,1.800718,1.805769,1.803187,1.800915,1.799735,1.805669,1.801901,1.804575,1.806666,1.803484,1.801507,1.804973,1.808868,1.805968,1.812393,1.805371,1.807366,1.765283,1.808567,1.808868,1.81209,1.815948,1.817992,1.81605,1.804675,1.801112,1.799931,1.804575,1.808868,1.814319,1.818607,1.815744,1.817685,1.819018
1084.572625,1.781703,1.784433,1.780204,1.780953,1.783207,1.782642,1.7775,1.785283,1.78283,1.783772,1.785662,1.786515,1.78918,1.788989,1.786515,1.788226,1.783961,1.788798,1.789658,1.785567,1.791094,1.792919,1.789849,1.789276,1.794173,1.788417,1.791477,1.796303,1.799909,1.8003,1.802362,1.80079,1.802362,1.806118,1.802953,1.806813,1.805225,1.804236,1.808307,1.808108,1.801575,1.807609,1.803643,1.807012,1.804829,1.808407,1.811009,1.811512,1.812115,1.811914,1.766489,1.813022,1.816668,1.819525,1.819935,1.819833,1.821064,1.80473,1.802756,1.802657,1.807311,1.807211,1.81973,1.821475,1.819935,1.822298,1.821886
1086.990173,1.791013,1.786643,1.785322,1.785982,1.783817,1.785416,1.784381,1.785228,1.790536,1.79149,1.787305,1.790536,1.791777,1.79025,1.791108,1.788443,1.791969,1.791395,1.79331,1.789583,1.790727,1.796586,1.796876,1.792926,1.795813,1.79379,1.797748,1.802917,1.799594,1.804687,1.807157,1.803998,1.8039,1.806563,1.807058,1.809044,1.810739,1.807554,1.812943,1.812742,1.810639,1.810539,1.804096,1.806563,1.809044,1.806266,1.81214,1.815157,1.813546,1.819825,1.773609,1.816877,1.818501,1.816978,1.823513,1.824853,1.822999,1.808845,1.810839,1.806168,1.811339,1.812341,1.817384,1.82848,1.82713,1.824956,1.828064
1089.405879,1.788835,1.789119,1.792252,1.785351,1.793683,1.792538,1.789971,1.789119,1.789971,1.791681,1.793397,1.796176,1.794353,1.791205,1.793779,1.795504,1.79397,1.795024,1.794545,1.79685,1.797717,1.80101,1.799554,1.799457,1.798683,1.799361,1.800524,1.808067,1.810744,1.80876,1.81154,1.805702,1.813837,1.808364,1.811042,1.814538,1.813236,1.812936,1.815643,1.813536,1.814639,1.817861,1.815442,1.813236,1.812737,1.811639,1.816952,1.817962,1.81776,1.819887,1.773602,1.819481,1.820903,1.826126,1.824788,1.827673,1.826435,1.814037,1.810942,1.813536,1.814338,1.816549,1.827673,1.830682,1.82757,1.829227,1.831724
1091.819744,1.796601,1.794881,1.790519,1.790896,1.795931,1.793264,1.796027,1.7945,1.794024,1.794786,1.800639,1.797079,1.799096,1.801219,1.802672,1.800253,1.800639,1.801122,1.800446,1.799963,1.798039,1.809618,1.799481,1.799289,1.803352,1.800349,1.809618,1.81021,1.81209,1.810704,1.818484,1.807356,1.811694,1.815575,1.816075,1.814776,1.816877,1.819795,1.817178,1.820401,1.819795,1.818484,1.817981,1.815275,1.813779,1.816977,1.820401,1.82375,1.823139,1.826202,1.782292,1.825281,1.827022,1.826919,1.835312,1.829183,1.832497,1.821109,1.814278,1.814278,1.820401,1.823954,1.829183,1.830112,1.829183,1.83479,1.839095
1094.231768,1.799581,1.799485,1.795104,1.796432,1.798242,1.800155,1.799676,1.800731,1.798147,1.798433,1.799102,1.801211,1.798529,1.804685,1.805946,1.803524,1.803717,1.801404,1.806335,1.803041,1.802462,1.805073,1.806919,1.809164,1.806529,1.803814,1.805752,1.815872,1.815872,1.815276,1.820067,1.817166,1.816568,1.820268,1.820569,1.820669,1.819966,1.822381,1.822079,1.824303,1.822381,1.824404,1.822079,1.818864,1.820569,1.822482,1.825826,1.828171,1.82899,1.831044,1.785729,1.8241,1.829195,1.829195,1.829298,1.834143,1.835805,1.826233,1.818864,1.82087,1.824607,1.827252,1.831044,1.835077,1.838101,1.837265,1.837578
1096.64195,1.80243,1.799757,1.805024,1.802143,1.804158,1.801952,1.805699,1.804254,1.804928,1.803389,1.807827,1.805988,1.809089,1.804735,1.805795,1.808895,1.806568,1.805699,1.806858,1.81388,1.81055,1.811918,1.8128,1.808312,1.811038,1.810941,1.811234,1.816642,1.820818,1.822019,1.821018,1.820718,1.825035,1.824228,1.821118,1.828173,1.827767,1.826247,1.824934,1.827869,1.824531,1.826956,1.823323,1.828987,1.824027,1.824934,1.833798,1.83236,1.830517,1.833078,1.790249,1.830006,1.832462,1.838247,1.837832,1.836276,1.841274,1.826247,1.821618,1.827665,1.824833,1.831847,1.836483,1.84075,1.843373,1.841903,1.841378
