Wavelength (nm),Absorbance (AU) 2024-10-30 00:00:06,Absorbance (AU) 2024-10-30 00:16:17,Absorbance (AU) 2024-10-30 00:31:23,Absorbance (AU) 2024-10-30 00:46:29,Absorbance (AU) 2024-10-30 01:01:35,Absorbance (AU) 2024-10-30 01:16:41,Absorbance (AU) 2024-10-30 01:31:47,Absorbance (AU) 2024-10-30 01:46:53,Absorbance (AU) 2024-10-30 02:01:59,Absorbance (AU) 2024-10-30 02:17:04,Absorbance (AU) 2024-10-30 02:32:10,Absorbance (AU) 2024-10-30 02:47:16,Absorbance (AU) 2024-10-30 03:02:23,Absorbance (AU) 2024-10-30 03:17:29,Absorbance (AU) 2024-10-30 03:32:35,Absorbance (AU) 2024-10-30 03:47:40,Absorbance (AU) 2024-10-30 04:02:47,Absorbance (AU) 2024-10-30 04:17:52,Absorbance (AU) 2024-10-30 04:32:58,Absorbance (AU) 2024-10-30 04:48:04,Absorbance (AU) 2024-10-30 05:03:10,Absorbance (AU) 2024-10-30 05:18:17,Absorbance (AU) 2024-10-30 05:33:23,Absorbance (AU) 2024-10-30 05:48:29,Absorbance (AU) 2024-10-30 06:03:35,Absorbance (AU) 2024-10-30 06:18:40,Absorbance (AU) 2024-10-30 06:33:47,Absorbance (AU) 2024-10-30 06:48:52,Absorbance (AU) 2024-10-30 07:03:59,Absorbance (AU) 2024-10-30 07:19:05,Absorbance (AU) 2024-10-30 07:34:10,Absorbance (AU) 2024-10-30 07:49:16,Absorbance (AU) 2024-10-30 08:04:22,Absorbance (AU) 2024-10-30 08:19:28,Absorbance (AU) 2024-10-30 08:34:34,Absorbance (AU) 2024-10-30 08:49:40,Absorbance (AU) 2024-10-30 09:04:46,Absorbance (AU) 2024-10-30 09:19:52,Absorbance (AU) 2024-10-30 09:34:58,Absorbance (AU) 2024-10-30 09:50:04,Absorbance (AU) 2024-10-30 10:05:10,Absorbance (AU) 2024-10-30 10:20:16,Absorbance (AU) 2024-10-30 10:35:22,Absorbance (AU) 2024-10-30 10:50:28,Absorbance (AU) 2024-10-30 11:05:34,Absorbance (AU) 2024-10-30 11:20:40,Absorbance (AU) 2024-10-30 11:35:46,Absorbance (AU) 2024-10-30 11:50:52,Absorbance (AU) 2024-10-30 12:05:58,Absorbance (AU) 2024-10-30 12:21:04,Absorbance (AU) 2024-10-30 12:36:10,Absorbance (AU) 2024-10-30 12:51:16,Absorbance (AU) 2024-10-30 13:06:22,Absorbance (AU) 2024-10-30 13:21:28,Absorbance (AU) 2024-10-30 13:36:34,Absorbance (AU) 2024-10-30 13:51:40,Absorbance (AU) 2024-10-30 14:06:46,Absorbance (AU) 2024-10-30 14:21:52,Absorbance (AU) 2024-10-30 14:36:58,Absorbance (AU) 2024-10-30 14:52:04,Absorbance (AU) 2024-10-30 15:07:10,Absorbance (AU) 2024-10-30 15:22:16,Absorbance (AU) 2024-10-30 15:37:22,Absorbance (AU) 2024-10-30 15:52:28,Absorbance (AU) 2024-10-30 16:07:34,Absorbance (AU) 2024-10-30 16:22:40,Absorbance (AU) 2024-10-30 16:37:46,Absorbance (AU) 2024-10-30 16:52:52,Absorbance (AU) 2024-10-30 17:07:58
1322.792806,2.540596,2.552387,2.541566,2.541566,2.552387,2.536095,2.545143,2.54875,2.532592,2.552055,2.54547,2.540273,2.539627,2.547107,2.538018,2.528173,2.540596,2.545143,2.537056,2.540596,2.541242,2.538661,2.533226,2.544817,2.544817,2.548092,2.549739,2.544491,2.553052,2.545143,2.548092,2.542539,2.538983,2.540919,2.54547,2.55639,2.536415,2.546451,2.559416,2.545797,2.53834,2.539305,2.547107,2.534181,2.548421,2.547107,2.549739,2.538661,2.538018,2.552387,2.543839,2.55572,2.542539,2.548421,2.533862,2.532274,2.540273,2.543514,2.543839,2.538983,2.53995,2.540273,2.556725,2.536735,2.533544,2.53834,2.535776,2.543189,2.542864
1325.021616,2.539512,2.545023,2.553258,2.544371,2.555258,2.541773,2.54307,2.536302,2.530899,2.54307,2.552262,2.555592,2.54372,2.555927,2.545023,2.554257,2.544046,2.549616,2.546331,2.529952,2.555927,2.552926,2.55193,2.560975,2.541773,2.549616,2.549946,2.537904,2.553924,2.538225,2.557603,2.555927,2.544697,2.549286,2.543395,2.548299,2.555592,2.536622,2.553924,2.549946,2.54535,2.552926,2.54372,2.554591,2.550276,2.551268,2.542421,2.551268,2.550606,2.553924,2.566082,2.555258,2.531847,2.547314,2.553924,2.559961,2.548957,2.54535,2.563691,2.542421,2.554257,2.555258,2.558612,2.551268,2.546986,2.530899,2.549616,2.545677,2.544046
1327.248584,2.546361,2.572322,2.564404,2.543751,2.539542,2.564745,2.554621,2.563722,2.556962,2.561683,2.558306,2.550968,2.536332,2.544402,2.544728,2.569207,2.551961,2.551961,2.555958,2.540833,2.550306,2.55797,2.555958,2.559991,2.548658,2.546361,2.562022,2.557634,2.547672,2.541803,2.558979,2.565087,2.553955,2.572322,2.546361,2.562701,2.545054,2.551961,2.552625,2.552625,2.572322,2.573366,2.552625,2.550968,2.550637,2.552293,2.553289,2.552625,2.549317,2.560329,2.563041,2.552293,2.556292,2.553622,2.569207,2.547344,2.554955,2.552625,2.552293,2.558643,2.551961,2.555289,2.544728,2.561683,2.561683,2.552293,2.560667,2.553622,2.550637
1329.473711,2.560897,2.559208,2.566004,2.548221,2.55518,2.558197,2.556518,2.551852,2.548221,2.55318,2.560558,2.553513,2.558197,2.553513,2.562253,2.558534,2.553513,2.549208,2.549868,2.549538,2.558534,2.56022,2.528615,2.568064,2.562253,2.554846,2.549868,2.552516,2.556854,2.560897,2.554512,2.556854,2.556518,2.55887,2.56532,2.561913,2.556854,2.557861,2.56772,2.560558,2.542019,2.553513,2.562933,2.55887,2.561235,2.552516,2.57048,2.557525,2.558534,2.563954,2.556854,2.556854,2.542992,2.553846,2.56022,2.546252,2.557525,2.556183,2.54658,2.557861,2.564295,2.563613,2.557525,2.571866,2.553513,2.563613,2.558534,2.572213,2.571172
1331.696997,2.563492,2.556062,2.556062,2.563833,2.554058,2.562812,2.561792,2.549747,2.572788,2.55875,2.556733,2.565541,2.560776,2.554391,2.553059,2.561114,2.564857,2.555393,2.572092,2.561792,2.559424,2.55774,2.555059,2.567255,2.55875,2.557404,2.557404,2.566569,2.574881,2.567255,2.555059,2.562472,2.564515,2.566226,2.559761,2.552727,2.555059,2.566912,2.564857,2.568632,2.559087,2.572788,2.567599,2.556062,2.553725,2.561453,2.559761,2.552063,2.564515,2.556062,2.558413,2.573833,2.557404,2.566912,2.554391,2.575231,2.553059,2.561453,2.555059,2.560776,2.556062,2.551069,2.559087,2.569667,2.561792,2.569322,2.570359,2.551731,2.562812
1333.918441,2.559069,2.547745,2.562797,2.554037,2.570004,2.570004,2.552372,2.562457,2.550383,2.558395,2.549722,2.557385,2.565528,2.556713,2.558058,2.555708,2.562457,2.565871,2.561777,2.564161,2.557721,2.563819,2.558058,2.577333,2.571043,2.561777,2.561438,2.561099,2.554704,2.561777,2.57139,2.565186,2.561099,2.55437,2.565871,2.564502,2.57839,2.554704,2.556713,2.572433,2.560421,2.565528,2.564161,2.565871,2.557385,2.578743,2.556378,2.567244,2.564502,2.57035,2.558732,2.57313,2.566214,2.562117,2.578743,2.56076,2.568622,2.558732,2.562117,2.566214,2.557385,2.565871,2.556713,2.568277,2.571043,2.560083,2.560421,2.560083,2.556713
1336.138044,2.571497,2.563572,2.570455,2.556797,2.562209,2.565969,2.568379,2.56085,2.56085,2.563572,2.574988,2.564256,2.563231,2.56494,2.563572,2.552449,2.553115,2.560172,2.56907,2.576041,2.561189,2.576041,2.579924,2.576744,2.576041,2.575339,2.568379,2.563914,2.576744,2.563572,2.569416,2.563231,2.553782,2.563231,2.552116,2.558819,2.568724,2.56289,2.588878,2.567689,2.562209,2.564256,2.569416,2.561529,2.561189,2.584915,2.574988,2.573588,2.570455,2.558481,2.56051,2.576744,2.571497,2.566313,2.583483,2.575339,2.574288,2.57289,2.576393,2.558819,2.566313,2.576041,2.556461,2.577097,2.579924,2.56051,2.561869,2.561869,2.554785
1338.355806,2.57158,2.568803,2.568803,2.559897,2.563301,2.559558,2.570884,2.566043,2.563301,2.572975,2.564327,2.569149,2.566731,2.577541,2.560236,2.578248,2.569842,2.569495,2.573325,2.568111,2.568457,2.578602,2.55652,2.572277,2.569495,2.577895,2.561256,2.560576,2.567766,2.574375,2.569495,2.555512,2.569495,2.570536,2.571928,2.577541,2.581799,2.576131,2.566043,2.574726,2.575077,2.575428,2.574375,2.577895,2.556857,2.565699,2.569842,2.580731,2.558543,2.566043,2.564327,2.569495,2.575077,2.565699,2.581443,2.57158,2.572975,2.568803,2.557531,2.569842,2.581087,2.563985,2.567421,2.572626,2.580375,2.565356,2.566387,2.574025,2.567421
1340.571726,2.568473,2.56468,2.588314,2.561942,2.561942,2.575455,2.56709,2.57405,2.571253,2.554836,2.574752,2.559221,2.572649,2.567435,2.573349,2.569166,2.571253,2.5599,2.574401,2.577572,2.577926,2.576513,2.577219,2.570556,2.571601,2.571253,2.567781,2.566056,2.567781,2.575808,2.56709,2.580411,2.5664,2.583626,2.56709,2.5664,2.577219,2.579699,2.563994,2.570556,2.575455,2.569861,2.554501,2.570556,2.574401,2.571253,2.56882,2.57616,2.56709,2.56058,2.578635,2.570904,2.579344,2.572299,2.569513,2.571601,2.566745,2.570904,2.583626,2.579344,2.583626,2.581123,2.575808,2.580055,2.574752,2.56882,2.575104,2.589039,2.573699
1342.785805,2.576482,2.571563,2.572963,2.576835,2.565663,2.576482,2.562572,2.565319,2.574015,2.58003,2.571912,2.56739,2.564974,2.569471,2.577189,2.563943,2.587215,2.565319,2.571912,2.583967,2.574719,2.571563,2.560183,2.572612,2.568429,2.568083,2.566008,2.56739,2.577189,2.571563,2.560183,2.560183,2.573313,2.556455,2.578252,2.578252,2.581458,2.568083,2.580743,2.567736,2.563943,2.58289,2.571213,2.574719,2.573313,2.568776,2.576482,2.591217,2.564974,2.569471,2.562572,2.576482,2.575423,2.570516,2.579318,2.565663,2.568429,2.571213,2.570864,2.571213,2.569471,2.566353,2.570864,2.5811,2.579318,2.558824,2.575776,2.580743,2.576129
