Wavelength (nm),Absorbance (AU) 2024-10-10 13:32:30,Absorbance (AU) 2024-10-10 13:47:37,Absorbance (AU) 2024-10-10 14:02:43,Absorbance (AU) 2024-10-10 14:17:49
1108.665241,1.825343,1.81818,1.818949,1.823201
1111.064375,1.830448,1.827711,1.832413,1.838065
1113.461668,1.8448,1.842391,1.848134,1.850473
1115.857119,1.865188,1.861435,1.87226,1.873645
1118.250729,1.887746,1.885562,1.891815,1.897041
1120.642498,1.923833,1.916339,1.921595,1.925253
1123.032425,1.947848,1.950706,1.95686,1.958507
1125.420511,1.988582,1.986022,1.993747,1.9932
1127.806756,2.031284,2.032026,2.029216,2.033214
1130.191159,2.059149,2.058209,2.061667,2.069148
1132.573721,2.093048,2.09103,2.093385,2.100013
1134.954442,2.123911,2.117488,2.122296,2.134096
1137.333321,2.152334,2.143835,2.144771,2.158287
1139.710359,2.1708,2.161405,2.175375,2.173579
1142.085556,2.183815,2.176785,2.184625,2.183815
1144.458911,2.187783,2.195977,2.194945,2.199299
1145.644899,2.190044,2.1966,2.199084,2.203465
1148.015492,2.193588,2.211673,2.201809,2.202017
1150.384244,2.207272,2.210413,2.206438,2.219333
1152.751154,2.212211,2.209282,2.210953,2.214315
1155.116224,2.207133,2.208373,2.215886,2.21274
1157.479452,2.213405,2.21133,2.225211,2.224357
1159.840838,2.215159,2.21185,2.216406,2.222275
1162.200383,2.214893,2.220291,2.215512,2.218623
1164.558087,2.218594,2.212836,2.215911,2.2238
1166.91395,2.204665,2.222369,2.215773,2.218853
1169.267971,2.216331,2.219397,2.220424,2.220013
1171.620151,2.216464,2.223612,2.218291,2.238698
1173.970489,2.229373,2.227097,2.217104,2.224423
1176.318986,2.222641,2.225696,2.227129,2.225696
1178.665642,2.222205,2.223013,2.226664,2.223619
1181.010457,2.219961,2.221561,2.228629,2.226598
1183.35343,2.218629,2.2228,2.22681,2.223399
1185.694562,2.22114,2.220153,2.227506,2.227706
1188.033852,2.230075,2.220569,2.22748,2.230676
1190.371301,2.224451,2.219763,2.22347,2.222883
1192.706909,2.226501,2.228467,2.218917,2.230838
1195.040675,2.221388,2.22158,2.227207,2.227989
1197.3726,2.217518,2.22114,2.225178,2.227308
1199.702684,2.219561,2.224901,2.224709,2.225862
1202.030926,2.219901,2.219336,2.210389,2.227895
1204.357327,2.222723,2.214682,2.216725,2.226324
1206.681887,2.215857,2.216782,2.216227,2.228229
1209.004605,2.221706,2.215415,2.219661,2.219661
1211.325482,2.212885,2.211796,2.213431,2.212703
1213.644518,2.213577,2.216851,2.213395,2.207457
1215.961712,2.210607,2.211684,2.212765,2.219121
1218.277065,2.214593,2.209035,2.210999,2.211357
1220.590577,2.202315,2.207239,2.21473,2.212397
1221.746642,2.205114,2.205465,2.202661,2.206345
1224.057392,2.205586,2.194832,2.207875,2.216793
