Wavelength (nm),Absorbance (AU) 2024-09-12 23:57:03
1342.785805,0.9435758480675446
1344.998043,0.9482458590242121
1347.208439,0.939774582679872
1349.416994,0.9392374911379896
1351.623708,0.9352791264743162
1353.82858,0.9401035512492749
1356.031611,0.9347084667110663
1358.2328,0.9314429501364213
1360.432149,0.9308158957612737
1362.629656,0.9251495799944142
1364.825321,0.9151986164521881
1365.922463,0.9097243109115518
1368.115367,0.9096209207897394
1370.306429,0.8964312952499623
1372.49565,0.9086944378799924
1374.683029,0.9185071003501837
1376.868567,0.8981338754377296
1379.052264,0.9108146067415731
1381.234119,0.9132530023417192
1383.414134,0.9199760457172321
1385.592306,0.9256853288074419
1387.768638,0.912632661610845
1389.943128,0.9098438137796206
1392.115776,0.9169817603712377
1394.286584,0.9255738823125014
1396.45555,0.9211066234128946
1398.622674,0.9236967473736224
